NAICS Code,NAICS Description,Total Employment,State
52,Finance and insurance,36638.0,Delaware
53,Real estate and rental and leasing,5930.0,Delaware
54,"Professional, scientific, and technical services",23852.0,Delaware
55,Management of companies and enterprises,13595.0,Delaware
56,Administrative and support and waste management and remediation services,25792.0,Delaware
61,Educational services,6339.0,Delaware
62,Health care and social assistance,58369.0,Delaware
71,"Arts, entertainment, and recreation",6170.0,Delaware
72,Accommodation and food services,31488.0,Delaware
81,Other services (except public administration),14783.0,Delaware
99,Industries not classified,61.0,Delaware
--,Total,463076.0,District of Columbia
11,"Agriculture, forestry, fishing and hunting",0.0,District of Columbia
21,"Mining, quarrying, and oil and gas extraction",0.0,District of Columbia
22,Utilities,0.0,District of Columbia
23,Construction,6110.0,District of Columbia
31-33,Manufacturing,1405.0,District of Columbia
42,Wholesale trade,4568.0,District of Columbia
44-45,Retail trade,19208.0,District of Columbia
48-49,Transportation and warehousing,4209.0,District of Columbia
51,Information,20137.0,District of Columbia
52,Finance and insurance,16630.0,District of Columbia
53,Real estate and rental and leasing,9075.0,District of Columbia
54,"Professional, scientific, and technical services",89309.0,District of Columbia
55,Management of companies and enterprises,10559.0,District of Columbia
56,Administrative and support and waste management and remediation services,33560.0,District of Columbia
61,Educational services,49396.0,District of Columbia
62,Health care and social assistance,65170.0,District of Columbia
71,"Arts, entertainment, and recreation",6946.0,District of Columbia
72,Accommodation and food services,55084.0,District of Columbia
81,Other services (except public administration),69575.0,District of Columbia
99,Industries not classified,121.0,District of Columbia
--,Total,6626558.0,Florida
11,"Agriculture, forestry, fishing and hunting",12528.0,Florida
21,"Mining, quarrying, and oil and gas extraction",4854.0,Florida
22,Utilities,26859.0,Florida
23,Construction,297998.0,Florida
31-33,Manufacturing,271861.0,Florida
42,Wholesale trade,276704.0,Florida
44-45,Retail trade,912727.0,Florida
48-49,Transportation and warehousing,204612.0,Florida
51,Information,151880.0,Florida
52,Finance and insurance,328994.0,Florida
53,Real estate and rental and leasing,144219.0,Florida
54,"Professional, scientific, and technical services",418190.0,Florida
55,Management of companies and enterprises,132954.0,Florida
56,Administrative and support and waste management and remediation services,1167504.0,Florida
61,Educational services,143820.0,Florida
62,Health care and social assistance,950331.0,Florida
71,"Arts, entertainment, and recreation",158824.0,Florida
72,Accommodation and food services,729533.0,Florida
81,Other services (except public administration),291446.0,Florida
99,Industries not classified,720.0,Florida
--,Total,3315274.0,Georgia
11,"Agriculture, forestry, fishing and hunting",7621.0,Georgia
21,"Mining, quarrying, and oil and gas extraction",4856.0,Georgia
22,Utilities,25127.0,Georgia
23,Construction,149943.0,Georgia
31-33,Manufacturing,326992.0,Georgia
42,Wholesale trade,184106.0,Georgia
44-45,Retail trade,428591.0,Georgia
48-49,Transportation and warehousing,149837.0,Georgia
51,Information,119144.0,Georgia
52,Finance and insurance,162339.0,Georgia
53,Real estate and rental and leasing,55715.0,Georgia
54,"Professional, scientific, and technical services",229172.0,Georgia
55,Management of companies and enterprises,111524.0,Georgia
56,Administrative and support and waste management and remediation services,305949.0,Georgia
61,Educational services,77554.0,Georgia
62,Health care and social assistance,437942.0,Georgia
71,"Arts, entertainment, and recreation",41318.0,Georgia
72,Accommodation and food services,343425.0,Georgia
81,Other services (except public administration),153792.0,Georgia
99,Industries not classified,327.0,Georgia
--,Total,478838.0,Hawaii
11,"Agriculture, forestry, fishing and hunting",357.0,Hawaii
21,"Mining, quarrying, and oil and gas extraction",137.0,Hawaii
22,Utilities,3163.0,Hawaii
23,Construction,27099.0,Hawaii
31-33,Manufacturing,12414.0,Hawaii
42,Wholesale trade,18836.0,Hawaii
44-45,Retail trade,65347.0,Hawaii
48-49,Transportation and warehousing,25741.0,Hawaii
51,Information,8802.0,Hawaii
52,Finance and insurance,19171.0,Hawaii
53,Real estate and rental and leasing,12790.0,Hawaii
54,"Professional, scientific, and technical services",25180.0,Hawaii
55,Management of companies and enterprises,5500.0,Hawaii
56,Administrative and support and waste management and remediation services,43936.0,Hawaii
61,Educational services,19561.0,Hawaii
62,Health care and social assistance,65125.0,Hawaii
71,"Arts, entertainment, and recreation",9761.0,Hawaii
72,Accommodation and food services,90324.0,Hawaii
81,Other services (except public administration),25532.0,Hawaii
99,Industries not classified,0.0,Hawaii
--,Total,487875.0,Idaho
11,"Agriculture, forestry, fishing and hunting",3304.0,Idaho
21,"Mining, quarrying, and oil and gas extraction",2444.0,Idaho
22,Utilities,2887.0,Idaho
23,Construction,29781.0,Idaho
31-33,Manufacturing,51874.0,Idaho
42,Wholesale trade,23296.0,Idaho
44-45,Retail trade,73468.0,Idaho
48-49,Transportation and warehousing,15931.0,Idaho
51,Information,13221.0,Idaho
52,Finance and insurance,21315.0,Idaho
53,Real estate and rental and leasing,7140.0,Idaho
54,"Professional, scientific, and technical services",31838.0,Idaho
55,Management of companies and enterprises,8711.0,Idaho
56,Administrative and support and waste management and remediation services,34000.0,Idaho
61,Educational services,10066.0,Idaho
62,Health care and social assistance,79920.0,Idaho
71,"Arts, entertainment, and recreation",8749.0,Idaho
72,Accommodation and food services,51321.0,Idaho
81,Other services (except public administration),18525.0,Idaho
99,Industries not classified,0.0,Idaho
--,Total,4980011.0,Illinois
11,"Agriculture, forestry, fishing and hunting",1859.0,Illinois
21,"Mining, quarrying, and oil and gas extraction",8024.0,Illinois
22,Utilities,28851.0,Illinois
23,Construction,188021.0,Illinois
31-33,Manufacturing,530947.0,Illinois
42,Wholesale trade,298978.0,Illinois
44-45,Retail trade,589318.0,Illinois
48-49,Transportation and warehousing,214017.0,Illinois
51,Information,120671.0,Illinois
52,Finance and insurance,302206.0,Illinois
53,Real estate and rental and leasing,75054.0,Illinois
54,"Professional, scientific, and technical services",348810.0,Illinois
55,Management of companies and enterprises,162925.0,Illinois
56,Administrative and support and waste management and remediation services,444003.0,Illinois
61,Educational services,152281.0,Illinois
62,Health care and social assistance,741655.0,Illinois
71,"Arts, entertainment, and recreation",76139.0,Illinois
72,Accommodation and food services,454291.0,Illinois
81,Other services (except public administration),241545.0,Illinois
99,Industries not classified,416.0,Illinois
--,Total,2400382.0,Indiana
11,"Agriculture, forestry, fishing and hunting",1632.0,Indiana
21,"Mining, quarrying, and oil and gas extraction",6162.0,Indiana
22,Utilities,16176.0,Indiana
23,Construction,111076.0,Indiana
31-33,Manufacturing,419723.0,Indiana
42,Wholesale trade,105332.0,Indiana
44-45,Retail trade,307663.0,Indiana
48-49,Transportation and warehousing,106187.0,Indiana
51,Information,43069.0,Indiana
52,Finance and insurance,97163.0,Indiana
53,Real estate and rental and leasing,32459.0,Indiana
54,"Professional, scientific, and technical services",100449.0,Indiana
55,Management of companies and enterprises,52120.0,Indiana
56,Administrative and support and waste management and remediation services,149990.0,Indiana
61,Educational services,62070.0,Indiana
62,Health care and social assistance,384458.0,Indiana
71,"Arts, entertainment, and recreation",35346.0,Indiana
72,Accommodation and food services,244554.0,Indiana
81,Other services (except public administration),124525.0,Indiana
99,Industries not classified,0.0,Indiana
--,Total,1253095.0,Iowa
11,"Agriculture, forestry, fishing and hunting",1897.0,Iowa
21,"Mining, quarrying, and oil and gas extraction",1661.0,Iowa
22,Utilities,0.0,Iowa
23,Construction,55283.0,Iowa
31-33,Manufacturing,195635.0,Iowa
42,Wholesale trade,64370.0,Iowa
44-45,Retail trade,174080.0,Iowa
48-49,Transportation and warehousing,53447.0,Iowa
51,Information,33046.0,Iowa
52,Finance and insurance,92105.0,Iowa
53,Real estate and rental and leasing,13786.0,Iowa
54,"Professional, scientific, and technical services",46355.0,Iowa
55,Management of companies and enterprises,17442.0,Iowa
56,Administrative and support and waste management and remediation services,64600.0,Iowa
61,Educational services,39576.0,Iowa
62,Health care and social assistance,207653.0,Iowa
71,"Arts, entertainment, and recreation",20758.0,Iowa
72,Accommodation and food services,110969.0,Iowa
81,Other services (except public administration),52449.0,Iowa
99,Industries not classified,0.0,Iowa
--,Total,1127160.0,Kansas
11,"Agriculture, forestry, fishing and hunting",701.0,Kansas
21,"Mining, quarrying, and oil and gas extraction",9159.0,Kansas
22,Utilities,6502.0,Kansas
23,Construction,56149.0,Kansas
31-33,Manufacturing,157713.0,Kansas
42,Wholesale trade,60985.0,Kansas
44-45,Retail trade,146553.0,Kansas
48-49,Transportation and warehousing,45952.0,Kansas
51,Information,39345.0,Kansas
52,Finance and insurance,59310.0,Kansas
53,Real estate and rental and leasing,15400.0,Kansas
54,"Professional, scientific, and technical services",58489.0,Kansas
55,Management of companies and enterprises,24835.0,Kansas
56,Administrative and support and waste management and remediation services,70535.0,Kansas
61,Educational services,19471.0,Kansas
62,Health care and social assistance,186820.0,Kansas
71,"Arts, entertainment, and recreation",13841.0,Kansas
72,Accommodation and food services,102400.0,Kansas
81,Other services (except public administration),52862.0,Kansas
99,Industries not classified,138.0,Kansas
--,Total,1456790.0,Kentucky
11,"Agriculture, forestry, fishing and hunting",1856.0,Kentucky
21,"Mining, quarrying, and oil and gas extraction",21192.0,Kentucky
22,Utilities,8310.0,Kentucky
23,Construction,64267.0,Kentucky
31-33,Manufacturing,202990.0,Kentucky
42,Wholesale trade,67931.0,Kentucky
44-45,Retail trade,217746.0,Kentucky
48-49,Transportation and warehousing,79895.0,Kentucky
51,Information,31808.0,Kentucky
52,Finance and insurance,66811.0,Kentucky
53,Real estate and rental and leasing,18045.0,Kentucky
54,"Professional, scientific, and technical services",65537.0,Kentucky
55,Management of companies and enterprises,25386.0,Kentucky
56,Administrative and support and waste management and remediation services,81964.0,Kentucky
61,Educational services,27931.0,Kentucky
62,Health care and social assistance,241385.0,Kentucky
71,"Arts, entertainment, and recreation",17032.0,Kentucky
72,Accommodation and food services,150583.0,Kentucky
81,Other services (except public administration),65690.0,Kentucky
99,Industries not classified,431.0,Kentucky
--,Total,1599551.0,Louisiana
11,"Agriculture, forestry, fishing and hunting",4058.0,Louisiana
21,"Mining, quarrying, and oil and gas extraction",49736.0,Louisiana
22,Utilities,0.0,Louisiana
23,Construction,131672.0,Louisiana
31-33,Manufacturing,124979.0,Louisiana
42,Wholesale trade,74042.0,Louisiana
44-45,Retail trade,222787.0,Louisiana
48-49,Transportation and warehousing,64565.0,Louisiana
51,Information,24267.0,Louisiana
52,Finance and insurance,64292.0,Louisiana
53,Real estate and rental and leasing,30065.0,Louisiana
54,"Professional, scientific, and technical services",87743.0,Louisiana
55,Management of companies and enterprises,18390.0,Louisiana
56,Administrative and support and waste management and remediation services,100980.0,Louisiana
61,Educational services,35159.0,Louisiana
62,Health care and social assistance,279436.0,Louisiana
71,"Arts, entertainment, and recreation",24001.0,Louisiana
72,Accommodation and food services,177712.0,Louisiana
81,Other services (except public administration),73676.0,Louisiana
99,Industries not classified,175.0,Louisiana
--,Total,480932.0,Maine
11,"Agriculture, forestry, fishing and hunting",3493.0,Maine
21,"Mining, quarrying, and oil and gas extraction",82.0,Maine
22,Utilities,2311.0,Maine
23,Construction,23266.0,Maine
31-33,Manufacturing,50458.0,Maine
42,Wholesale trade,17294.0,Maine
44-45,Retail trade,79837.0,Maine
48-49,Transportation and warehousing,14334.0,Maine
51,Information,10998.0,Maine
52,Finance and insurance,26799.0,Maine
53,Real estate and rental and leasing,6455.0,Maine
54,"Professional, scientific, and technical services",23133.0,Maine
55,Management of companies and enterprises,8111.0,Maine
56,Administrative and support and waste management and remediation services,21726.0,Maine
61,Educational services,14686.0,Maine
62,Health care and social assistance,106197.0,Maine
71,"Arts, entertainment, and recreation",7376.0,Maine
72,Accommodation and food services,46347.0,Maine
81,Other services (except public administration),17976.0,Maine
99,Industries not classified,0.0,Maine
--,Total,2075507.0,Maryland
11,"Agriculture, forestry, fishing and hunting",953.0,Maryland
21,"Mining, quarrying, and oil and gas extraction",1267.0,Maryland
22,Utilities,10494.0,Maryland
23,Construction,141519.0,Maryland
31-33,Manufacturing,104560.0,Maryland
42,Wholesale trade,87672.0,Maryland
44-45,Retail trade,271687.0,Maryland
48-49,Transportation and warehousing,61553.0,Maryland
51,Information,55933.0,Maryland
52,Finance and insurance,100239.0,Maryland
53,Real estate and rental and leasing,42530.0,Maryland
54,"Professional, scientific, and technical services",232819.0,Maryland
55,Management of companies and enterprises,49747.0,Maryland
56,Administrative and support and waste management and remediation services,170165.0,Maryland
61,Educational services,77181.0,Maryland
62,Health care and social assistance,332605.0,Maryland
71,"Arts, entertainment, and recreation",35707.0,Maryland
72,Accommodation and food services,190930.0,Maryland
81,Other services (except public administration),107681.0,Maryland
99,Industries not classified,0.0,Maryland
--,Total,2928545.0,Massachusetts
11,"Agriculture, forestry, fishing and hunting",1061.0,Massachusetts
21,"Mining, quarrying, and oil and gas extraction",1039.0,Massachusetts
22,Utilities,12861.0,Massachusetts
23,Construction,102086.0,Massachusetts
31-33,Manufacturing,226698.0,Massachusetts
42,Wholesale trade,129557.0,Massachusetts
44-45,Retail trade,343890.0,Massachusetts
48-49,Transportation and warehousing,75037.0,Massachusetts
51,Information,96450.0,Massachusetts
52,Finance and insurance,197247.0,Massachusetts
53,Real estate and rental and leasing,41659.0,Massachusetts
54,"Professional, scientific, and technical services",247470.0,Massachusetts
55,Management of companies and enterprises,84941.0,Massachusetts
56,Administrative and support and waste management and remediation services,191267.0,Massachusetts
61,Educational services,192514.0,Massachusetts
62,Health care and social assistance,564011.0,Massachusetts
71,"Arts, entertainment, and recreation",51323.0,Massachusetts
72,Accommodation and food services,252157.0,Massachusetts
81,Other services (except public administration),116647.0,Massachusetts
99,Industries not classified,630.0,Massachusetts
--,Total,3288456.0,Michigan
11,"Agriculture, forestry, fishing and hunting",3087.0,Michigan
21,"Mining, quarrying, and oil and gas extraction",5242.0,Michigan
22,Utilities,0.0,Michigan
23,Construction,107449.0,Michigan
31-33,Manufacturing,445322.0,Michigan
42,Wholesale trade,153933.0,Michigan
44-45,Retail trade,437906.0,Michigan
48-49,Transportation and warehousing,91418.0,Michigan
51,Information,66635.0,Michigan
52,Finance and insurance,147749.0,Michigan
53,Real estate and rental and leasing,47315.0,Michigan
54,"Professional, scientific, and technical services",233841.0,Michigan
55,Management of companies and enterprises,97073.0,Michigan
56,Administrative and support and waste management and remediation services,268339.0,Michigan
61,Educational services,71782.0,Michigan
62,Health care and social assistance,562949.0,Michigan
71,"Arts, entertainment, and recreation",49775.0,Michigan
72,Accommodation and food services,323814.0,Michigan
81,Other services (except public administration),152752.0,Michigan
99,Industries not classified,0.0,Michigan
--,Total,2357971.0,Minnesota
11,"Agriculture, forestry, fishing and hunting",2404.0,Minnesota
21,"Mining, quarrying, and oil and gas extraction",5164.0,Minnesota
22,Utilities,0.0,Minnesota
23,Construction,93425.0,Minnesota
31-33,Manufacturing,286707.0,Minnesota
42,Wholesale trade,125455.0,Minnesota
44-45,Retail trade,284703.0,Minnesota
48-49,Transportation and warehousing,72865.0,Minnesota
51,Information,60664.0,Minnesota
52,Finance and insurance,144914.0,Minnesota
53,Real estate and rental and leasing,35139.0,Minnesota
54,"Professional, scientific, and technical services",134532.0,Minnesota
55,Management of companies and enterprises,100127.0,Minnesota
56,Administrative and support and waste management and remediation services,130151.0,Minnesota
61,Educational services,69230.0,Minnesota
62,Health care and social assistance,431296.0,Minnesota
71,"Arts, entertainment, and recreation",40896.0,Minnesota
72,Accommodation and food services,210150.0,Minnesota
81,Other services (except public administration),116495.0,Minnesota
99,Industries not classified,0.0,Minnesota
--,Total,882181.0,Mississippi
11,"Agriculture, forestry, fishing and hunting",4463.0,Mississippi
21,"Mining, quarrying, and oil and gas extraction",5044.0,Mississippi
22,Utilities,9338.0,Mississippi
23,Construction,44057.0,Mississippi
31-33,Manufacturing,139450.0,Mississippi
42,Wholesale trade,34469.0,Mississippi
44-45,Retail trade,136148.0,Mississippi
48-49,Transportation and warehousing,32655.0,Mississippi
51,Information,13218.0,Mississippi
52,Finance and insurance,33764.0,Mississippi
53,Real estate and rental and leasing,10211.0,Mississippi
54,"Professional, scientific, and technical services",31505.0,Mississippi
55,Management of companies and enterprises,8054.0,Mississippi
56,Administrative and support and waste management and remediation services,44882.0,Mississippi
61,Educational services,18392.0,Mississippi
62,Health care and social assistance,155636.0,Mississippi
71,"Arts, entertainment, and recreation",8190.0,Mississippi
72,Accommodation and food services,113180.0,Mississippi
81,Other services (except public administration),39368.0,Mississippi
99,Industries not classified,157.0,Mississippi
--,Total,2292551.0,Missouri
11,"Agriculture, forestry, fishing and hunting",1387.0,Missouri
21,"Mining, quarrying, and oil and gas extraction",3386.0,Missouri
22,Utilities,16665.0,Missouri
23,Construction,108311.0,Missouri
31-33,Manufacturing,239250.0,Missouri
42,Wholesale trade,119024.0,Missouri
44-45,Retail trade,305860.0,Missouri
48-49,Transportation and warehousing,79372.0,Missouri
51,Information,60401.0,Missouri
52,Finance and insurance,128064.0,Missouri
53,Real estate and rental and leasing,35499.0,Missouri
54,"Professional, scientific, and technical services",139294.0,Missouri
55,Management of companies and enterprises,70910.0,Missouri
56,Administrative and support and waste management and remediation services,143951.0,Missouri
61,Educational services,71376.0,Missouri
62,Health care and social assistance,380717.0,Missouri
71,"Arts, entertainment, and recreation",39857.0,Missouri
72,Accommodation and food services,230856.0,Missouri
81,Other services (except public administration),113423.0,Missouri
99,Industries not classified,0.0,Missouri
--,Total,338405.0,Montana
11,"Agriculture, forestry, fishing and hunting",1123.0,Montana
21,"Mining, quarrying, and oil and gas extraction",5962.0,Montana
22,Utilities,2972.0,Montana
23,Construction,21981.0,Montana
31-33,Manufacturing,15835.0,Montana
42,Wholesale trade,13768.0,Montana
44-45,Retail trade,55858.0,Montana
48-49,Transportation and warehousing,11083.0,Montana
51,Information,9235.0,Montana
52,Finance and insurance,16277.0,Montana
53,Real estate and rental and leasing,5623.0,Montana
54,"Professional, scientific, and technical services",17126.0,Montana
55,Management of companies and enterprises,2735.0,Montana
56,Administrative and support and waste management and remediation services,18948.0,Montana
61,Educational services,5615.0,Montana
62,Health care and social assistance,64545.0,Montana
71,"Arts, entertainment, and recreation",9994.0,Montana
72,Accommodation and food services,44570.0,Montana
81,Other services (except public administration),15115.0,Montana
99,Industries not classified,0.0,Montana
--,Total,769436.0,Nebraska
11,"Agriculture, forestry, fishing and hunting",1004.0,Nebraska
21,"Mining, quarrying, and oil and gas extraction",889.0,Nebraska
22,Utilities,0.0,Nebraska
23,Construction,39369.0,Nebraska
31-33,Manufacturing,88847.0,Nebraska
42,Wholesale trade,39618.0,Nebraska
44-45,Retail trade,104124.0,Nebraska
48-49,Transportation and warehousing,37613.0,Nebraska
51,Information,19746.0,Nebraska
52,Finance and insurance,61259.0,Nebraska
53,Real estate and rental and leasing,9732.0,Nebraska
54,"Professional, scientific, and technical services",49957.0,Nebraska
55,Management of companies and enterprises,15464.0,Nebraska
56,Administrative and support and waste management and remediation services,46125.0,Nebraska
61,Educational services,18480.0,Nebraska
62,Health care and social assistance,120265.0,Nebraska
71,"Arts, entertainment, and recreation",11504.0,Nebraska
72,Accommodation and food services,67436.0,Nebraska
81,Other services (except public administration),36728.0,Nebraska
99,Industries not classified,0.0,Nebraska
--,Total,1002956.0,Nevada
11,"Agriculture, forestry, fishing and hunting",0.0,Nevada
21,"Mining, quarrying, and oil and gas extraction",10922.0,Nevada
22,Utilities,0.0,Nevada
23,Construction,61036.0,Nevada
31-33,Manufacturing,39351.0,Nevada
42,Wholesale trade,34429.0,Nevada
44-45,Retail trade,128844.0,Nevada
48-49,Transportation and warehousing,42471.0,Nevada
51,Information,15188.0,Nevada
52,Finance and insurance,34434.0,Nevada
53,Real estate and rental and leasing,25735.0,Nevada
54,"Professional, scientific, and technical services",52119.0,Nevada
55,Management of companies and enterprises,12712.0,Nevada
56,Administrative and support and waste management and remediation services,84229.0,Nevada
61,Educational services,9866.0,Nevada
62,Health care and social assistance,98544.0,Nevada
71,"Arts, entertainment, and recreation",27375.0,Nevada
72,Accommodation and food services,288588.0,Nevada
81,Other services (except public administration),31556.0,Nevada
99,Industries not classified,121.0,Nevada
--,Total,562505.0,New Hampshire
11,"Agriculture, forestry, fishing and hunting",554.0,New Hampshire
21,"Mining, quarrying, and oil and gas extraction",210.0,New Hampshire
22,Utilities,3492.0,New Hampshire
23,Construction,22692.0,New Hampshire
31-33,Manufacturing,68104.0,New Hampshire
