State,NAICS Code,NAICS Description,Total Employment
Georgia,62,Health Care and Social Assistance,497019.0
Georgia,71,"Arts, Entertainment, and Recreation",48413.0
Georgia,72,Accommodation and Food Services,421223.0
Georgia,81,Other Services (except Public Administration),159287.0
Georgia,99,Industries not classified,568.0
Hawaii,--,Total,528415.0
Hawaii,11,"Agriculture, Forestry, Fishing and Hunting",151.0
Hawaii,21,"Mining, Quarrying, and Oil and Gas Extraction",176.0
Hawaii,22,Utilities,3664.0
Hawaii,23,Construction,33488.0
Hawaii,31-33,Manufacturing,13040.0
Hawaii,42,Wholesale Trade,19345.0
Hawaii,44-45,Retail Trade,70647.0
Hawaii,48-49,Transportation and Warehousing,30155.0
Hawaii,51,Information,8202.0
Hawaii,52,Finance and Insurance,19060.0
Hawaii,53,Real Estate and Rental and Leasing,11945.0
Hawaii,54,"Professional, Scientific, and Technical Services",22782.0
Hawaii,55,Management of Companies and Enterprises,6395.0
Hawaii,56,Administrative and Support and Waste Management and Remediation Services,55128.0
Hawaii,61,Educational Services,18190.0
Hawaii,62,Health Care and Social Assistance,71052.0
Hawaii,71,"Arts, Entertainment, and Recreation",11380.0
Hawaii,72,Accommodation and Food Services,107940.0
Hawaii,81,Other Services (except Public Administration),25580.0
Hawaii,99,Industries not classified,95.0
Idaho,--,Total,562282.0
Idaho,11,"Agriculture, Forestry, Fishing and Hunting",3359.0
Idaho,21,"Mining, Quarrying, and Oil and Gas Extraction",2584.0
Idaho,22,Utilities,3586.0
Idaho,23,Construction,38254.0
Idaho,31-33,Manufacturing,60078.0
Idaho,42,Wholesale Trade,31319.0
Idaho,44-45,Retail Trade,84071.0
Idaho,48-49,Transportation and Warehousing,18457.0
Idaho,51,Information,13103.0
Idaho,52,Finance and Insurance,22432.0
Idaho,53,Real Estate and Rental and Leasing,7320.0
Idaho,54,"Professional, Scientific, and Technical Services",32852.0
Idaho,55,Management of Companies and Enterprises,7713.0
Idaho,56,Administrative and Support and Waste Management and Remediation Services,39761.0
Idaho,61,Educational Services,14934.0
Idaho,62,Health Care and Social Assistance,91190.0
Idaho,71,"Arts, Entertainment, and Recreation",9010.0
Idaho,72,Accommodation and Food Services,61928.0
Idaho,81,Other Services (except Public Administration),20209.0
Idaho,99,Industries not classified,122.0
Illinois,--,Total,5513071.0
Illinois,11,"Agriculture, Forestry, Fishing and Hunting",1999.0
Illinois,21,"Mining, Quarrying, and Oil and Gas Extraction",7918.0
Illinois,22,Utilities,30454.0
Illinois,23,Construction,208396.0
Illinois,31-33,Manufacturing,535830.0
Illinois,42,Wholesale Trade,321872.0
Illinois,44-45,Retail Trade,631937.0
Illinois,48-49,Transportation and Warehousing,244615.0
Illinois,51,Information,123156.0
Illinois,52,Finance and Insurance,346002.0
Illinois,53,Real Estate and Rental and Leasing,79100.0
Illinois,54,"Professional, Scientific, and Technical Services",389970.0
Illinois,55,Management of Companies and Enterprises,213814.0
Illinois,56,Administrative and Support and Waste Management and Remediation Services,540722.0
Illinois,61,Educational Services,171194.0
Illinois,62,Health Care and Social Assistance,805338.0
Illinois,71,"Arts, Entertainment, and Recreation",82801.0
Illinois,72,Accommodation and Food Services,528395.0
Illinois,81,Other Services (except Public Administration),248938.0
Illinois,99,Industries not classified,620.0
Indiana,--,Total,2720277.0
Indiana,11,"Agriculture, Forestry, Fishing and Hunting",1407.0
Indiana,21,"Mining, Quarrying, and Oil and Gas Extraction",5564.0
Indiana,22,Utilities,15109.0
Indiana,23,Construction,122512.0
Indiana,31-33,Manufacturing,500104.0
Indiana,42,Wholesale Trade,118177.0
Indiana,44-45,Retail Trade,325581.0
Indiana,48-49,Transportation and Warehousing,124985.0
Indiana,51,Information,44335.0
Indiana,52,Finance and Insurance,101691.0
Indiana,53,Real Estate and Rental and Leasing,34043.0
Indiana,54,"Professional, Scientific, and Technical Services",128583.0
Indiana,55,Management of Companies and Enterprises,51586.0
Indiana,56,Administrative and Support and Waste Management and Remediation Services,216495.0
Indiana,61,Educational Services,68406.0
Indiana,62,Health Care and Social Assistance,423622.0
Indiana,71,"Arts, Entertainment, and Recreation",33842.0
Indiana,72,Accommodation and Food Services,276564.0
Indiana,81,Other Services (except Public Administration),127449.0
Indiana,99,Industries not classified,222.0
Iowa,--,Total,1354487.0
Iowa,11,"Agriculture, Forestry, Fishing and Hunting",2538.0
Iowa,21,"Mining, Quarrying, and Oil and Gas Extraction",2012.0
Iowa,22,Utilities,7971.0
Iowa,23,Construction,66874.0
Iowa,31-33,Manufacturing,208831.0
Iowa,42,Wholesale Trade,68683.0
Iowa,44-45,Retail Trade,187275.0
Iowa,48-49,Transportation and Warehousing,57434.0
Iowa,51,Information,29739.0
Iowa,52,Finance and Insurance,98251.0
Iowa,53,Real Estate and Rental and Leasing,13679.0
Iowa,54,"Professional, Scientific, and Technical Services",55168.0
Iowa,55,Management of Companies and Enterprises,24568.0
Iowa,56,Administrative and Support and Waste Management and Remediation Services,77808.0
Iowa,61,Educational Services,35240.0
Iowa,62,Health Care and Social Assistance,224133.0
Iowa,71,"Arts, Entertainment, and Recreation",20389.0
Iowa,72,Accommodation and Food Services,121432.0
Iowa,81,Other Services (except Public Administration),52284.0
Iowa,99,Industries not classified,178.0
Kansas,--,Total,1184710.0
Kansas,11,"Agriculture, Forestry, Fishing and Hunting",861.0
Kansas,21,"Mining, Quarrying, and Oil and Gas Extraction",7571.0
Kansas,22,Utilities,7287.0
Kansas,23,Construction,65081.0
Kansas,31-33,Manufacturing,160006.0
Kansas,42,Wholesale Trade,62811.0
Kansas,44-45,Retail Trade,153917.0
Kansas,48-49,Transportation and Warehousing,55850.0
Kansas,51,Information,30674.0
Kansas,52,Finance and Insurance,60819.0
Kansas,53,Real Estate and Rental and Leasing,14984.0
Kansas,54,"Professional, Scientific, and Technical Services",65414.0
Kansas,55,Management of Companies and Enterprises,22949.0
Kansas,56,Administrative and Support and Waste Management and Remediation Services,81652.0
Kansas,61,Educational Services,20516.0
Kansas,62,Health Care and Social Assistance,191669.0
Kansas,71,"Arts, Entertainment, and Recreation",16133.0
Kansas,72,Accommodation and Food Services,115329.0
Kansas,81,Other Services (except Public Administration),50989.0
Kansas,99,Industries not classified,198.0
Kentucky,--,Total,1603173.0
Kentucky,11,"Agriculture, Forestry, Fishing and Hunting",1489.0
Kentucky,21,"Mining, Quarrying, and Oil and Gas Extraction",10134.0
Kentucky,22,Utilities,8530.0
Kentucky,23,Construction,69808.0
Kentucky,31-33,Manufacturing,235487.0
Kentucky,42,Wholesale Trade,71545.0
Kentucky,44-45,Retail Trade,214356.0
Kentucky,48-49,Transportation and Warehousing,96476.0
Kentucky,51,Information,32140.0
Kentucky,52,Finance and Insurance,74742.0
Kentucky,53,Real Estate and Rental and Leasing,18186.0
Kentucky,54,"Professional, Scientific, and Technical Services",74749.0
Kentucky,55,Management of Companies and Enterprises,31161.0
Kentucky,56,Administrative and Support and Waste Management and Remediation Services,121236.0
Kentucky,61,Educational Services,28807.0
Kentucky,62,Health Care and Social Assistance,255345.0
Kentucky,71,"Arts, Entertainment, and Recreation",17667.0
Kentucky,72,Accommodation and Food Services,173991.0
Kentucky,81,Other Services (except Public Administration),66783.0
Kentucky,99,Industries not classified,541.0
Louisiana,--,Total,1709226.0
Louisiana,11,"Agriculture, Forestry, Fishing and Hunting",4091.0
Louisiana,21,"Mining, Quarrying, and Oil and Gas Extraction",43227.0
Louisiana,22,Utilities,11506.0
Louisiana,23,Construction,135543.0
Louisiana,31-33,Manufacturing,118352.0
Louisiana,42,Wholesale Trade,75766.0
Louisiana,44-45,Retail Trade,240119.0
Louisiana,48-49,Transportation and Warehousing,68693.0
Louisiana,51,Information,30111.0
Louisiana,52,Finance and Insurance,64521.0
Louisiana,53,Real Estate and Rental and Leasing,30746.0
Louisiana,54,"Professional, Scientific, and Technical Services",97108.0
Louisiana,55,Management of Companies and Enterprises,25579.0
Louisiana,56,Administrative and Support and Waste Management and Remediation Services,105382.0
Louisiana,61,Educational Services,43929.0
Louisiana,62,Health Care and Social Assistance,294641.0
Louisiana,71,"Arts, Entertainment, and Recreation",25583.0
Louisiana,72,Accommodation and Food Services,218289.0
Louisiana,81,Other Services (except Public Administration),75808.0
Louisiana,99,Industries not classified,232.0
Maine,--,Total,511936.0
Maine,11,"Agriculture, Forestry, Fishing and Hunting",3170.0
Maine,21,"Mining, Quarrying, and Oil and Gas Extraction",115.0
Maine,22,Utilities,2527.0
Maine,23,Construction,25506.0
Maine,31-33,Manufacturing,49793.0
Maine,42,Wholesale Trade,18369.0
Maine,44-45,Retail Trade,83847.0
Maine,48-49,Transportation and Warehousing,15695.0
Maine,51,Information,11872.0
Maine,52,Finance and Insurance,28305.0
Maine,53,Real Estate and Rental and Leasing,6656.0
Maine,54,"Professional, Scientific, and Technical Services",23182.0
Maine,55,Management of Companies and Enterprises,9657.0
Maine,56,Administrative and Support and Waste Management and Remediation Services,24664.0
Maine,61,Educational Services,17952.0
Maine,62,Health Care and Social Assistance,111720.0
Maine,71,"Arts, Entertainment, and Recreation",8048.0
Maine,72,Accommodation and Food Services,51972.0
Maine,81,Other Services (except Public Administration),18738.0
Maine,99,Industries not classified,148.0
Maryland,--,Total,2282725.0
Maryland,11,"Agriculture, Forestry, Fishing and Hunting",1255.0
Maryland,21,"Mining, Quarrying, and Oil and Gas Extraction",1053.0
Maryland,22,Utilities,9734.0
Maryland,23,Construction,150284.0
Maryland,31-33,Manufacturing,97484.0
Maryland,42,Wholesale Trade,91056.0
Maryland,44-45,Retail Trade,294126.0
Maryland,48-49,Transportation and Warehousing,71679.0
Maryland,51,Information,52412.0
Maryland,52,Finance and Insurance,101012.0
Maryland,53,Real Estate and Rental and Leasing,45989.0
Maryland,54,"Professional, Scientific, and Technical Services",276621.0
Maryland,55,Management of Companies and Enterprises,56062.0
Maryland,56,Administrative and Support and Waste Management and Remediation Services,194857.0
Maryland,61,Educational Services,83905.0
Maryland,62,Health Care and Social Assistance,370191.0
Maryland,71,"Arts, Entertainment, and Recreation",39335.0
Maryland,72,Accommodation and Food Services,231489.0
Maryland,81,Other Services (except Public Administration),113861.0
Maryland,99,Industries not classified,320.0
Massachusetts,--,Total,3254781.0
Massachusetts,11,"Agriculture, Forestry, Fishing and Hunting",1052.0
Massachusetts,21,"Mining, Quarrying, and Oil and Gas Extraction",913.0
Massachusetts,22,Utilities,12480.0
Massachusetts,23,Construction,131693.0
Massachusetts,31-33,Manufacturing,221424.0
Massachusetts,42,Wholesale Trade,143559.0
Massachusetts,44-45,Retail Trade,373471.0
Massachusetts,48-49,Transportation and Warehousing,84681.0
Massachusetts,51,Information,114607.0
Massachusetts,52,Finance and Insurance,189009.0
Massachusetts,53,Real Estate and Rental and Leasing,46627.0
Massachusetts,54,"Professional, Scientific, and Technical Services",283863.0
Massachusetts,55,Management of Companies and Enterprises,98805.0
