NAICS Code,NAICS Description,Total Employment,State
51,Information,9380.0,Hawaii
52,Finance and insurance,19220.0,Hawaii
53,Real estate and rental and leasing,14179.0,Hawaii
54,"Professional, scientific, and technical services",23245.0,Hawaii
55,Management of companies and enterprises,6019.0,Hawaii
56,Administrative and support and waste management and remediation services,47069.0,Hawaii
61,Educational services,19327.0,Hawaii
62,Health care and social assistance,64995.0,Hawaii
71,"Arts, entertainment, and recreation",10271.0,Hawaii
72,Accommodation and food services,91963.0,Hawaii
81,Other services (except public administration),25168.0,Hawaii
99,Industries not classified,0.0,Hawaii
--,Total,500226.0,Idaho
11,"Agriculture, forestry, fishing and hunting",3045.0,Idaho
21,"Mining, quarrying, and oil and gas extraction",2354.0,Idaho
22,Utilities,3607.0,Idaho
23,Construction,32820.0,Idaho
31-33,Manufacturing,55345.0,Idaho
42,Wholesale trade,24109.0,Idaho
44-45,Retail trade,74343.0,Idaho
48-49,Transportation and warehousing,16854.0,Idaho
51,Information,13500.0,Idaho
52,Finance and insurance,21364.0,Idaho
53,Real estate and rental and leasing,7107.0,Idaho
54,"Professional, scientific, and technical services",31391.0,Idaho
55,Management of companies and enterprises,7752.0,Idaho
56,Administrative and support and waste management and remediation services,37342.0,Idaho
61,Educational services,9813.0,Idaho
62,Health care and social assistance,78519.0,Idaho
71,"Arts, entertainment, and recreation",8658.0,Idaho
72,Accommodation and food services,53349.0,Idaho
81,Other services (except public administration),18872.0,Idaho
99,Industries not classified,0.0,Idaho
--,Total,5120970.0,Illinois
11,"Agriculture, forestry, fishing and hunting",1715.0,Illinois
21,"Mining, quarrying, and oil and gas extraction",8608.0,Illinois
22,Utilities,28602.0,Illinois
23,Construction,206452.0,Illinois
31-33,Manufacturing,566887.0,Illinois
42,Wholesale trade,304994.0,Illinois
44-45,Retail trade,600315.0,Illinois
48-49,Transportation and warehousing,219414.0,Illinois
51,Information,126128.0,Illinois
52,Finance and insurance,324750.0,Illinois
53,Real estate and rental and leasing,81321.0,Illinois
54,"Professional, scientific, and technical services",359119.0,Illinois
55,Management of companies and enterprises,174726.0,Illinois
56,Administrative and support and waste management and remediation services,450855.0,Illinois
61,Educational services,151647.0,Illinois
62,Health care and social assistance,732836.0,Illinois
71,"Arts, entertainment, and recreation",77873.0,Illinois
72,Accommodation and food services,457084.0,Illinois
81,Other services (except public administration),247266.0,Illinois
99,Industries not classified,378.0,Illinois
--,Total,2449980.0,Indiana
11,"Agriculture, forestry, fishing and hunting",2063.0,Indiana
21,"Mining, quarrying, and oil and gas extraction",5874.0,Indiana
22,Utilities,16144.0,Indiana
23,Construction,118482.0,Indiana
31-33,Manufacturing,442399.0,Indiana
42,Wholesale trade,109027.0,Indiana
44-45,Retail trade,314411.0,Indiana
48-49,Transportation and warehousing,110692.0,Indiana
51,Information,44488.0,Indiana
52,Finance and insurance,101674.0,Indiana
53,Real estate and rental and leasing,34015.0,Indiana
54,"Professional, scientific, and technical services",102098.0,Indiana
