NAICS Code,Total Employment - 2007,State
51,65973,Missouri
52,137169,Missouri
53,42590,Missouri
54,145200,Missouri
55,71684,Missouri
56,157632,Missouri
61,67578,Missouri
62,357800,Missouri
71,36295,Missouri
72,243970,Missouri
81,119163,Missouri
99,0,Missouri
--,353807,Montana
11,1711,Montana
21,7837,Montana
22,2746,Montana
23,29090,Montana
31-33,20301,Montana
42,14092,Montana
44-45,59967,Montana
48-49,10878,Montana
51,8131,Montana
52,17211,Montana
53,6015,Montana
54,17761,Montana
55,2992,Montana
56,20847,Montana
61,5284,Montana
62,58010,Montana
71,10710,Montana
72,45103,Montana
81,15071,Montana
99,0,Montana
--,795545,Nebraska
11,780,Nebraska
21,1009,Nebraska
22,1099,Nebraska
23,41939,Nebraska
31-33,101129,Nebraska
42,37991,Nebraska
44-45,108767,Nebraska
48-49,34863,Nebraska
51,18973,Nebraska
52,60277,Nebraska
53,10494,Nebraska
54,46673,Nebraska
55,16795,Nebraska
56,66143,Nebraska
61,17205,Nebraska
62,113768,Nebraska
71,10899,Nebraska
72,69645,Nebraska
81,37058,Nebraska
99,0,Nebraska
--,1195806,Nevada
11,163,Nevada
21,14908,Nevada
22,0,Nevada
23,129929,Nevada
31-33,49624,Nevada
42,40268,Nevada
44-45,144179,Nevada
48-49,48194,Nevada
51,16900,Nevada
52,41369,Nevada
53,31144,Nevada
54,60753,Nevada
55,16592,Nevada
56,108078,Nevada
61,8713,Nevada
62,94120,Nevada
71,30728,Nevada
72,319477,Nevada
81,35004,Nevada
99,124,Nevada
--,573209,New Hampshire
11,657,New Hampshire
21,427,New Hampshire
22,3099,New Hampshire
23,28099,New Hampshire
31-33,76714,New Hampshire
42,24404,New Hampshire
44-45,100565,New Hampshire
48-49,12529,New Hampshire
51,13630,New Hampshire
52,27507,New Hampshire
53,7349,New Hampshire
54,30774,New Hampshire
55,9160,New Hampshire
56,35967,New Hampshire
61,29611,New Hampshire
62,83517,New Hampshire
71,10807,New Hampshire
72,56140,New Hampshire
81,22234,New Hampshire
99,0,New Hampshire
--,3661679,New Jersey
11,1644,New Jersey
21,1960,New Jersey
22,17225,New Jersey
23,177095,New Jersey
31-33,292324,New Jersey
42,269317,New Jersey
44-45,466715,New Jersey
48-49,174469,New Jersey
51,114139,New Jersey
52,220545,New Jersey
53,62027,New Jersey
54,309851,New Jersey
55,172040,New Jersey
56,292961,New Jersey
61,91616,New Jersey
62,506595,New Jersey
71,47723,New Jersey
72,287101,New Jersey
81,156062,New Jersey
99,0,New Jersey
--,642183,New Mexico
11,563,New Mexico
21,19537,New Mexico
22,4291,New Mexico
23,55309,New Mexico
31-33,34535,New Mexico
42,22393,New Mexico
44-45,99908,New Mexico
48-49,17153,New Mexico
51,12825,New Mexico
52,25906,New Mexico
53,11306,New Mexico
54,44729,New Mexico
55,10877,New Mexico
56,45592,New Mexico
61,9958,New Mexico
62,103803,New Mexico
71,14833,New Mexico
72,81036,New Mexico
81,27576,New Mexico
99,53,New Mexico
--,7529882,New York
11,5342,New York
21,5115,New York
22,39699,New York
23,328933,New York
31-33,534160,New York
42,390422,New York
44-45,898881,New York
48-49,237525,New York
51,294238,New York
52,577873,New York
53,170882,New York
54,598086,New York
55,187658,New York
56,499115,New York
61,349684,New York
62,1318731,New York
71,149930,New York
72,580333,New York
81,362334,New York
99,0,New York
--,3586552,North Carolina
11,4828,North Carolina
21,3178,North Carolina
22,20399,North Carolina
23,247496,North Carolina
31-33,518824,North Carolina
42,173897,North Carolina
44-45,474865,North Carolina
48-49,116108,North Carolina
51,77030,North Carolina
52,187424,North Carolina
53,55796,North Carolina
54,202065,North Carolina
55,79329,North Carolina
56,280007,North Carolina
61,79666,North Carolina
62,517515,North Carolina
71,52567,North Carolina
72,340421,North Carolina
81,154808,North Carolina
99,329,North Carolina
--,292879,North Dakota
11,509,North Dakota
21,7000,North Dakota
22,0,North Dakota
23,16672,North Dakota
31-33,26282,North Dakota
42,17494,North Dakota
44-45,45556,North Dakota
48-49,10330,North Dakota
51,7224,North Dakota
52,16191,North Dakota
53,3653,North Dakota
54,12468,North Dakota
55,8261,North Dakota
56,13282,North Dakota
61,4701,North Dakota
62,51235,North Dakota
71,4144,North Dakota
72,30556,North Dakota
81,13754,North Dakota
99,0,North Dakota
--,4782141,Ohio
11,1349,Ohio
21,10512,Ohio
22,26583,Ohio
23,213271,Ohio
31-33,761167,Ohio
42,233434,Ohio
44-45,593437,Ohio
48-49,177057,Ohio
51,99130,Ohio
52,268414,Ohio
53,67525,Ohio
54,245671,Ohio
55,154940,Ohio
56,344055,Ohio
61,107920,Ohio
62,755841,Ohio
71,59476,Ohio
72,436944,Ohio
81,225047,Ohio
99,368,Ohio
--,1307858,Oklahoma
11,935,Oklahoma
21,49269,Oklahoma
22,8107,Oklahoma
23,71360,Oklahoma
31-33,143479,Oklahoma
42,59379,Oklahoma
44-45,176458,Oklahoma
48-49,47653,Oklahoma
51,31452,Oklahoma
52,63558,Oklahoma
53,23237,Oklahoma
54,70650,Oklahoma
55,27410,Oklahoma
56,98205,Oklahoma
61,18617,Oklahoma
62,199863,Oklahoma
71,24715,Oklahoma
72,129220,Oklahoma
81,64182,Oklahoma
99,109,Oklahoma
--,1477553,Oregon
11,13081,Oregon
21,2350,Oregon
22,7886,Oregon
23,100753,Oregon
31-33,185056,Oregon
42,78185,Oregon
44-45,207554,Oregon
48-49,54887,Oregon
51,39333,Oregon
52,66407,Oregon
53,32495,Oregon
54,81457,Oregon
55,42756,Oregon
56,93281,Oregon
61,37622,Oregon
62,193304,Oregon
71,24748,Oregon
72,151585,Oregon
81,64649,Oregon
99,164,Oregon
--,5195818,Pennsylvania
11,2912,Pennsylvania
21,21074,Pennsylvania
22,29594,Pennsylvania
23,258832,Pennsylvania
31-33,644994,Pennsylvania
42,236913,Pennsylvania
44-45,682414,Pennsylvania
48-49,206207,Pennsylvania
51,133994,Pennsylvania
52,287928,Pennsylvania
53,70935,Pennsylvania
54,320169,Pennsylvania
55,140905,Pennsylvania
56,296085,Pennsylvania
61,233126,Pennsylvania
62,882034,Pennsylvania
71,77573,Pennsylvania
72,420025,Pennsylvania
81,249864,Pennsylvania
99,240,Pennsylvania
--,441353,Rhode Island
11,151,Rhode Island
21,262,Rhode Island
22,0,Rhode Island
23,21198,Rhode Island
31-33,52292,Rhode Island
42,20890,Rhode Island
44-45,54842,Rhode Island
48-49,9883,Rhode Island
51,8288,Rhode Island
52,30172,Rhode Island
53,6843,Rhode Island
54,23067,Rhode Island
55,9977,Rhode Island
56,23310,Rhode Island
61,23948,Rhode Island
62,82558,Rhode Island
71,8681,Rhode Island
72,44363,Rhode Island
81,19359,Rhode Island
99,45,Rhode Island
--,1648146,South Carolina
11,4705,South Carolina
21,1302,South Carolina
22,12533,South Carolina
23,112596,South Carolina
31-33,264873,South Carolina
42,63940,South Carolina
44-45,238082,South Carolina
48-49,56959,South Carolina
